method,n,seed,instance,status,objective,gap_%,time_s,n_items,n_truck,n_drone,n_rendv,profit,rental,arrival,W_final,W_capacity,W_actual,evals,time_to_best_s,reheats,collected_node_ids,truck_node_ids,drone_node_ids,rendezvous_node_ids,truck_route_node_ids,drone_arc_node_ids,W_sequence
SA,10,0,bench_10_2,ok,-38951.4253,,30.0047,4,2,2,4,3299.0,42250.4253,581.1613,4025.0,22750.0,10050.0,3285292,1.7207,81,"[9, 2, 5, 11]","[9, 2]","[5, 11]","[10, 6, 9, 1]","[1, 10, 8, 7, 6, 9, 2, 1]","[(1, 3), (3, 10), (10, 4), (4, 6), (6, 5), (5, 9), (9, 11), (11, 1)]","[(1, 0.0), (10, 0.0), (8, 0.0), (7, 0.0), (6, 0.0), (9, 0.0), (2, 2011.0), (1, 3019.0)]"
SA,10,2,bench_10_2,ok,-38951.4253,,30.0045,4,2,2,4,3299.0,42250.4253,581.1613,4025.0,22750.0,10050.0,3300981,4.9369,82,"[9, 2, 5, 11]","[9, 2]","[5, 11]","[10, 6, 9, 1]","[1, 10, 8, 7, 6, 9, 2, 1]","[(1, 3), (3, 10), (10, 4), (4, 6), (6, 5), (5, 9), (9, 11), (11, 1)]","[(1, 0.0), (10, 0.0), (8, 0.0), (7, 0.0), (6, 0.0), (9, 0.0), (2, 2011.0), (1, 3019.0)]"
SA,10,4,bench_10_2,ok,-38951.4253,,30.0046,4,2,2,4,3299.0,42250.4253,581.1613,4025.0,22750.0,10050.0,3311701,27.4728,82,"[9, 2, 5, 11]","[9, 2]","[5, 11]","[10, 6, 9, 1]","[1, 10, 8, 7, 6, 9, 2, 1]","[(1, 3), (3, 10), (10, 4), (4, 6), (6, 5), (5, 9), (9, 11), (11, 1)]","[(1, 0.0), (10, 0.0), (8, 0.0), (7, 0.0), (6, 0.0), (9, 0.0), (2, 2011.0), (1, 3019.0)]"
SA,10,6,bench_10_2,ok,-38915.5372,,30.0041,5,2,3,5,4211.0,43126.5372,593.2123,5026.0,22750.0,10050.0,3266757,15.4614,81,"[5, 2, 6, 9, 11]","[5, 2]","[6, 9, 11]","[10, 4, 3, 2, 1]","[1, 10, 4, 5, 3, 2, 1]","[(1, 8), (8, 10), (10, 7), (7, 4), (4, 6), (6, 3), (3, 9), (9, 2), (2, 11), (11, 1)]","[(1, 0.0), (10, 0.0), (4, 0.0), (5, 0.0), (3, 1009.0), (2, 2010.0), (1, 4020.0)]"
SA,10,8,bench_10_2,ok,-38918.7159,,30.0036,5,2,3,5,4210.0,43128.7159,593.2423,5029.0,22750.0,10050.0,3309601,25.217,82,"[5, 2, 7, 9, 11]","[5, 2]","[7, 9, 11]","[10, 4, 3, 2, 1]","[1, 10, 4, 5, 3, 2, 1]","[(1, 8), (8, 10), (10, 6), (6, 4), (4, 7), (7, 3), (3, 9), (9, 2), (2, 11), (11, 1)]","[(1, 0.0), (10, 0.0), (4, 0.0), (5, 0.0), (3, 1009.0), (2, 2013.0), (1, 4023.0)]"
SA,10,0,bench_10_3,ok,-28382.9589,,30.0043,10,5,5,5,7897.0,36279.9589,499.0366,10056.0,22750.0,10056.0,3398578,6.8894,84,"[2, 6, 5, 7, 11, 10, 4, 3, 8, 9]","[2, 6, 5, 7, 11]","[10, 4, 3, 8, 9]","[2, 5, 7, 11, 1]","[1, 2, 6, 5, 7, 11, 1]","[(1, 10), (10, 2), (2, 4), (4, 5), (5, 3), (3, 7), (7, 8), (8, 11), (11, 9), (9, 1)]","[(1, 0.0), (2, 0.0), (6, 2010.0), (5, 3016.0), (7, 5033.0), (11, 7049.0), (1, 9056.0)]"
SA,10,2,bench_10_3,ok,-28382.9589,,30.0036,10,5,5,5,7897.0,36279.9589,499.0366,10056.0,22750.0,10056.0,3422410,1.8838,85,"[2, 6, 5, 7, 11, 10, 4, 3, 8, 9]","[2, 6, 5, 7, 11]","[10, 4, 3, 8, 9]","[2, 5, 7, 11, 1]","[1, 2, 6, 5, 7, 11, 1]","[(1, 10), (10, 2), (2, 4), (4, 5), (5, 3), (3, 7), (7, 8), (8, 11), (11, 9), (9, 1)]","[(1, 0.0), (2, 0.0), (6, 2010.0), (5, 3016.0), (7, 5033.0), (11, 7049.0), (1, 9056.0)]"
SA,10,4,bench_10_3,ok,-28382.9589,,30.0042,10,5,5,5,7897.0,36279.9589,499.0366,10056.0,22750.0,10056.0,3422433,2.2207,85,"[2, 6, 5, 7, 11, 10, 4, 3, 8, 9]","[2, 6, 5, 7, 11]","[10, 4, 3, 8, 9]","[2, 5, 7, 11, 1]","[1, 2, 6, 5, 7, 11, 1]","[(1, 10), (10, 2), (2, 4), (4, 5), (5, 3), (3, 7), (7, 8), (8, 11), (11, 9), (9, 1)]","[(1, 0.0), (2, 0.0), (6, 2010.0), (5, 3016.0), (7, 5033.0), (11, 7049.0), (1, 9056.0)]"
SA,10,6,bench_10_3,ok,-28567.9324,,30.0041,9,4,5,5,7249.0,35816.9324,492.6676,9054.0,22750.0,10056.0,3419066,12.4774,85,"[5, 6, 7, 11, 10, 4, 3, 8, 9]","[5, 6, 7, 11]","[10, 4, 3, 8, 9]","[2, 6, 7, 11, 1]","[1, 2, 5, 6, 7, 11, 1]","[(1, 10), (10, 2), (2, 4), (4, 6), (6, 3), (3, 7), (7, 8), (8, 11), (11, 9), (9, 1)]","[(1, 0.0), (2, 0.0), (5, 1008.0), (6, 2016.0), (7, 4031.0), (11, 6047.0), (1, 8054.0)]"
SA,10,8,bench_10_3,ok,-28382.9589,,30.0042,10,5,5,5,7897.0,36279.9589,499.0366,10056.0,22750.0,10056.0,3379836,4.4504,84,"[2, 6, 5, 7, 11, 10, 4, 3, 8, 9]","[2, 6, 5, 7, 11]","[10, 4, 3, 8, 9]","[2, 5, 7, 11, 1]","[1, 2, 6, 5, 7, 11, 1]","[(1, 10), (10, 2), (2, 4), (4, 5), (5, 3), (3, 7), (7, 8), (8, 11), (11, 9), (9, 1)]","[(1, 0.0), (2, 0.0), (6, 2010.0), (5, 3016.0), (7, 5033.0), (11, 7049.0), (1, 9056.0)]"
