n,instance,frac_label,frac,lisa_budget_s,sa_full_budget_s,GAT_beam,SA_scratch_frac,SA_warm_frac,PORTFOLIO_frac,SA_full_best_corrected,gap_vs_SAfull_%,gat_gap_vs_SAfull_%
30,bench_30_4,20%,0.2000,90.00,450.0,-47751.3,-40973.3,-40637.9,-40637.9,-37664.8,+7.894,+26.780
30,bench_30_1,25%,0.2500,112.50,450.0,-43097.9,-35720.2,-33109.9,-33109.9,-33388.1,-0.833,+29.082
30,bench_30_2,25%,0.2500,112.50,450.0,-60158.0,-38966.6,-38596.6,-38596.6,-37027.1,+4.239,+62.470
30,bench_30_3,25%,0.2500,112.50,450.0,-49025.9,-41303.9,-39499.3,-39499.3,-39126.8,+0.952,+25.300
30,bench_30_4,25%,0.2500,112.50,450.0,-47751.3,-40973.3,-40488.6,-40488.6,-37664.8,+7.497,+26.780
30,bench_30_1,33.33%,0.3333,150.00,450.0,-43097.9,-35720.2,-33109.9,-33109.9,-33388.1,-0.833,+29.082
30,bench_30_2,33.33%,0.3333,150.00,450.0,-60158.0,-38966.6,-37626.6,-37626.6,-37027.1,+1.619,+62.470
30,bench_30_3,33.33%,0.3333,150.00,450.0,-49025.9,-41303.9,-39499.3,-39499.3,-39126.8,+0.952,+25.300
30,bench_30_4,33.33%,0.3333,150.00,450.0,-47751.3,-40973.3,-40488.6,-40488.6,-37664.8,+7.497,+26.780
30,bench_30_1,50%,0.5000,225.00,450.0,-43097.9,-35761.0,-33109.9,-33109.9,-33388.1,-0.833,+29.082
30,bench_30_2,50%,0.5000,225.00,450.0,-60158.0,-38749.7,-37626.6,-37626.6,-37027.1,+1.619,+62.470
30,bench_30_3,50%,0.5000,225.00,450.0,-49025.9,-41303.9,-39499.3,-39499.3,-39126.8,+0.952,+25.300
30,bench_30_4,50%,0.5000,225.00,450.0,-47751.3,-40973.3,-40488.6,-40488.6,-37664.8,+7.497,+26.780
40,bench_40_1,5%,0.0500,30.00,600.0,-56276.5,-38609.9,-40570.6,-38609.9,-34336.6,+12.445,+63.897
40,bench_40_2,5%,0.0500,30.00,600.0,-67503.2,-43528.6,-44794.1,-43528.6,-38852.3,+12.036,+73.743
40,bench_40_3,5%,0.0500,30.00,600.0,-67689.8,-45205.1,-44290.1,-44290.1,-39658.4,+11.679,+70.682
40,bench_40_4,5%,0.0500,30.00,600.0,-53413.9,-42139.1,-38773.0,-38773.0,-36491.2,+6.253,+46.375
40,bench_40_1,10%,0.1000,60.00,600.0,-56276.5,-36952.5,-38849.1,-36952.5,-34336.6,+7.618,+63.897
40,bench_40_2,10%,0.1000,60.00,600.0,-67503.2,-41869.2,-40979.7,-40979.7,-38852.3,+5.476,+73.743
40,bench_40_3,10%,0.1000,60.00,600.0,-67689.8,-46055.3,-44290.1,-44290.1,-39658.4,+11.679,+70.682
40,bench_40_4,10%,0.1000,60.00,600.0,-53413.9,-42142.6,-38773.0,-38773.0,-36491.2,+6.253,+46.375
40,bench_40_1,20%,0.2000,120.00,600.0,-56276.5,-36952.5,-36566.1,-36566.1,-34336.6,+6.493,+63.897
40,bench_40_2,20%,0.2000,120.00,600.0,-67503.2,-39742.9,-39256.6,-39256.6,-38852.3,+1.041,+73.743
40,bench_40_3,20%,0.2000,120.00,600.0,-67689.8,-44702.3,-43532.6,-43532.6,-39658.4,+9.769,+70.682
40,bench_40_4,20%,0.2000,120.00,600.0,-53413.9,-38809.5,-38773.0,-38773.0,-36491.2,+6.253,+46.375
40,bench_40_1,25%,0.2500,150.00,600.0,-56276.5,-36952.5,-36566.1,-36566.1,-34336.6,+6.493,+63.897
40,bench_40_2,25%,0.2500,150.00,600.0,-67503.2,-39742.9,-39246.4,-39246.4,-38852.3,+1.014,+73.743
40,bench_40_3,25%,0.2500,150.00,600.0,-67689.8,-44702.3,-43532.6,-43532.6,-39658.4,+9.769,+70.682
40,bench_40_4,25%,0.2500,150.00,600.0,-53413.9,-38809.5,-38130.6,-38130.6,-36491.2,+4.492,+46.375
40,bench_40_1,33.33%,0.3333,200.00,600.0,-56276.5,-36952.5,-36566.1,-36566.1,-34336.6,+6.493,+63.897
40,bench_40_2,33.33%,0.3333,200.00,600.0,-67503.2,-39742.9,-40737.4,-39742.9,-38852.3,+2.292,+73.743
40,bench_40_3,33.33%,0.3333,200.00,600.0,-67689.8,-43673.7,-43532.6,-43532.6,-39658.4,+9.769,+70.682
40,bench_40_4,33.33%,0.3333,200.00,600.0,-53413.9,-38809.5,-38130.6,-38130.6,-36491.2,+4.492,+46.375
40,bench_40_1,50%,0.5000,300.00,600.0,-56276.5,-35064.4,-36566.1,-35064.4,-34336.6,+2.120,+63.897
40,bench_40_2,50%,0.5000,300.00,600.0,-67503.2,-39742.9,-37294.8,-37294.8,-38852.3,-4.009,+73.743
40,bench_40_3,50%,0.5000,300.00,600.0,-67689.8,-42502.0,-42491.5,-42491.5,-39658.4,+7.144,+70.682
40,bench_40_4,50%,0.5000,300.00,600.0,-53413.9,-38809.5,-37224.4,-37224.4,-36491.2,+2.009,+46.375
