method,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error
SA,ttd300,75,3,0.5,182.0,363.0,ttd300_n75_L3_f050,0,ok,-33081.4065,63928.0,97009.4065,1940.1881,975.1555,40.0107,75,49,26,26,75381.0,170628.0,34085803,121,
VNS,ttd300,75,3,0.5,182.0,363.0,ttd300_n75_L3_f050,0,ok,-52588.6843,63390.0,115978.6843,2319.5737,976.6224,332.2024,74,60,14,14,74377.0,170628.0,17529143,,
VNS,ttd300,75,4,0.5,177.0,354.0,ttd300_n75_L4_f050,0,ok,-40928.4047,62537.0,103465.4047,2069.3081,975.0001,960.4879,74,56,18,18,74304.0,170628.0,53114114,,
SA,ttd300,75,4,0.5,177.0,354.0,ttd300_n75_L4_f050,0,ok,-33755.3469,62537.0,96292.3469,1925.8469,975.3115,975.3114,74,46,28,28,74304.0,170628.0,33603671,120,
SA,ttd300,75,5,0.5,199.0,398.0,ttd300_n75_L5_f050,0,ok,-31093.9289,63291.0,94384.9289,1887.6986,975.1544,104.2166,75,49,26,26,75311.0,170628.0,33790234,121,
VNS,ttd300,75,5,0.5,199.0,398.0,ttd300_n75_L5_f050,0,ok,-51443.3113,61763.0,113206.3113,2264.1262,975.5385,944.8257,72,62,10,10,72299.0,170628.0,26387827,,
VNS,ttd300,75,1,0.75,280.0,374.0,ttd300_n75_L1_f075,0,ok,-46806.2204,56112.0,102918.2204,2058.3644,975.0001,599.1856,69,59,10,11,69284.0,170628.0,24750033,,
SA,ttd300,75,1,0.75,280.0,374.0,ttd300_n75_L1_f075,0,ok,-34624.2603,58411.0,93035.2603,1860.7052,975.3614,975.3613,74,52,22,22,74316.0,170628.0,33927480,121,
SA,ttd300,75,2,0.75,290.0,387.0,ttd300_n75_L2_f075,0,ok,-29927.827,64846.0,94773.827,1895.4765,975.3397,975.3396,75,50,25,25,75382.0,170628.0,34056260,121,
VNS,ttd300,75,2,0.75,290.0,387.0,ttd300_n75_L2_f075,0,ok,-33658.4066,64021.0,97679.4066,1953.5881,977.7082,853.6015,73,61,12,13,73368.0,170628.0,11825517,,
SA,ttd300,75,3,0.75,272.0,363.0,ttd300_n75_L3_f075,0,ok,-30715.1164,63928.0,94643.1164,1892.8623,975.3573,975.3572,75,52,23,23,75381.0,170628.0,33315539,119,
SA,ttd300,75,4,0.75,266.0,354.0,ttd300_n75_L4_f075,0,ok,-35669.7802,62537.0,98206.7802,1964.1356,975.2295,975.2295,74,53,21,21,74304.0,170628.0,33908800,121,
