param,value,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error,R,vmin,vD
Wcap,0.5,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-36193.4698,3344.0,39537.4698,790.7494,120.0021,0.1279,4,2,2,4,4013.0,11375.0,14248676,356,,50.0,0.1,2.0
Wcap,1,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-34623.121,6045.0,40668.121,813.3624,120.002,0.142,7,4,3,4,7036.0,22750.0,14252842,356,,50.0,0.1,2.0
Wcap,2,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-32506.2871,8573.0,41079.2871,821.5857,120.0021,0.1473,10,6,4,4,10052.0,45500.0,14079096,351,,50.0,0.1,2.0
Wcap,4,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-30975.2025,8573.0,39548.2025,790.964,120.002,2.5011,10,6,4,4,10052.0,91000.0,14444983,361,,50.0,0.1,2.0
baseline,-,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-34623.121,6045.0,40668.121,813.3624,120.0021,0.145,7,4,3,4,7036.0,22750.0,13932030,348,,50.0,0.1,2.0
vDfact,0.5,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-41515.0659,4546.0,46061.0659,921.2213,120.0028,2.1682,5,4,1,2,5028.0,22750.0,18942179,473,,50.0,0.1,0.5
vDfact,1,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-38215.0582,7849.0,46064.0582,921.2812,120.0021,2.5076,9,5,4,4,9048.0,22750.0,15955204,398,,50.0,0.1,1.0
vDfact,2,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-34623.121,6045.0,40668.121,813.3624,120.002,0.1449,7,4,3,4,7036.0,22750.0,14110907,352,,50.0,0.1,2.0
vDfact,3,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-33876.8917,5164.0,39040.8917,780.8178,120.002,7.4487,6,3,3,4,6031.0,22750.0,13691915,342,,50.0,0.1,3.0
vDfact,4,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-33876.8917,5164.0,39040.8917,780.8178,120.0018,20.6929,6,3,3,4,6031.0,22750.0,13760590,343,,50.0,0.1,4.0
vmin,0.05,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-34792.176,6045.0,40837.176,816.7435,120.002,0.1807,7,4,3,4,7036.0,22750.0,14121752,352,,50.0,0.05,2.0
vmin,0.1,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-34623.121,6045.0,40668.121,813.3624,120.002,0.143,7,4,3,4,7036.0,22750.0,14267529,356,,50.0,0.1,2.0
vmin,0.25,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-34115.3409,7023.0,41138.3409,822.7668,120.0021,0.1506,8,5,3,4,8043.0,22750.0,13995571,349,,50.0,0.25,2.0
vmin,0.5,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-32808.445,7849.0,40657.445,813.1489,120.002,0.5237,9,5,4,4,9048.0,22750.0,14314926,357,,50.0,0.5,2.0
vmin,0.9,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-30206.126,8573.0,38779.126,775.5825,120.0021,0.4965,10,6,4,4,10052.0,22750.0,14381002,359,,50.0,0.9,2.0
R,1,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,7801.8972,8573.0,771.1028,771.1028,120.0023,1.8568,10,5,5,5,10052.0,22750.0,14268302,356,,1.0,0.1,2.0
R,100,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-66000.053,5201.0,71201.053,712.0105,120.0024,12.6852,6,3,3,5,6036.0,22750.0,13824876,345,,100.0,0.1,2.0
R,12.5,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-1065.7845,8573.0,9638.7845,771.1028,120.0023,2.866,10,5,5,5,10052.0,22750.0,13693798,342,,12.5,0.1,2.0
R,200,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-134992.287,1619.0,136611.287,683.0564,120.0024,5.4401,2,1,1,5,2008.0,22750.0,13991375,349,,200.0,0.1,2.0
R,25,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-10704.569,8573.0,19277.569,771.1028,120.0023,0.1387,10,5,5,5,10052.0,22750.0,13431027,335,,25.0,0.1,2.0
R,50,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-29669.7658,7849.0,37518.7658,750.3753,120.0024,5.0266,9,4,5,5,9048.0,22750.0,13886470,347,,50.0,0.1,2.0
Wcap,0.25,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-32989.4601,1619.0,34608.4601,692.1692,120.0025,0.164,2,1,1,5,2008.0,5687.5,14441865,360,,50.0,0.1,2.0
Wcap,0.5,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-32304.9881,3495.0,35799.9881,715.9998,120.0024,5.3746,4,2,2,5,4020.0,11375.0,14132141,353,,50.0,0.1,2.0
Wcap,1,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-29669.7658,7849.0,37518.7658,750.3753,120.0023,5.0967,9,4,5,5,9048.0,22750.0,13829897,345,,50.0,0.1,2.0
Wcap,2,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-27765.3531,8573.0,36338.3531,726.7671,120.0024,0.5002,10,5,5,5,10052.0,45500.0,13741980,343,,50.0,0.1,2.0
Wcap,4,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-26526.2928,8573.0,35099.2928,701.9859,120.0024,1.9222,10,5,5,5,10052.0,91000.0,14038295,350,,50.0,0.1,2.0
baseline,-,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-29669.7658,7849.0,37518.7658,750.3753,120.0022,4.9809,9,4,5,5,9048.0,22750.0,13948944,348,,50.0,0.1,2.0
vDfact,0.5,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-40142.3019,5176.0,45318.3019,906.366,120.0031,0.3747,6,5,1,1,6027.0,22750.0,19086498,477,,50.0,0.1,0.5
vDfact,1,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-36643.7611,7023.0,43666.7611,873.3352,120.003,12.3327,8,5,3,4,8043.0,22750.0,16524716,413,,50.0,0.1,1.0
vDfact,2,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-29669.7658,7849.0,37518.7658,750.3753,120.0022,4.9931,9,4,5,5,9048.0,22750.0,13948963,348,,50.0,0.1,2.0
vDfact,3,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-28486.1913,6142.0,34628.1913,692.5638,120.0025,1.9096,7,4,3,5,7038.0,22750.0,13532331,338,,50.0,0.1,3.0
