n,ED_frac,param,value,n_layouts,objective,rental,arrival,n_truck,n_drone,n_rendv,n_items,profit,time_to_best_s,evals
20,0.25,Wcap,1,1,-54904.8,67878.8,1357.6,10.0,5.0,6.0,15.0,12974.0,5.2,29581011.0
20,0.25,Wcap,2,1,-50977.5,68500.5,1370.0,14.0,6.0,6.0,20.0,17523.0,2.2,30040216.0
20,0.25,Wcap,4,1,-48671.3,66194.3,1323.9,14.0,6.0,6.0,20.0,17523.0,53.7,30614653.0
20,0.25,baseline,-,1,-54904.8,67878.8,1357.6,10.0,5.0,6.0,15.0,12974.0,5.2,30051621.0
20,0.25,vDfact,0.5,1,-60871.7,72217.7,1444.4,12.0,1.0,1.0,13.0,11346.0,1.8,34324026.0
20,0.25,vDfact,1,1,-58262.6,72222.6,1444.5,11.0,5.0,6.0,16.0,13960.0,5.1,32363155.0
20,0.25,vDfact,2,1,-54904.8,67878.8,1357.6,10.0,5.0,6.0,15.0,12974.0,5.2,30021047.0
20,0.25,vDfact,3,1,-54738.1,67712.1,1354.2,10.0,5.0,6.0,15.0,12974.0,8.2,29935625.0
20,0.25,vDfact,4,1,-54738.1,67712.1,1354.2,10.0,5.0,6.0,15.0,12974.0,30.8,29681637.0
20,0.25,vmin,0.05,1,-55160.6,68134.6,1362.7,10.0,5.0,6.0,15.0,12974.0,4.5,29573606.0
20,0.25,vmin,0.1,1,-54904.8,67878.8,1357.6,10.0,5.0,6.0,15.0,12974.0,5.2,30245313.0
20,0.25,vmin,0.25,1,-54042.1,68002.1,1360.0,11.0,5.0,6.0,16.0,13960.0,12.8,30049189.0
20,0.25,vmin,0.5,1,-51527.6,69050.6,1381.0,14.0,6.0,6.0,20.0,17523.0,37.1,29028140.0
20,0.25,vmin,0.9,1,-47495.4,65018.4,1300.4,14.0,6.0,6.0,20.0,17523.0,7.5,30249128.0
20,0.5,R,1,1,16178.5,1344.5,1344.5,12.0,8.0,8.0,20.0,17523.0,300.1,27309490.0
20,0.5,R,100,1,-109363.9,119769.9,1197.7,7.0,5.0,8.0,12.0,10406.0,123.4,27591754.0
20,0.5,R,12.5,1,717.1,16805.9,1344.5,12.0,8.0,8.0,20.0,17523.0,64.8,26593859.0
20,0.5,R,200,1,-228060.7,235858.7,1179.3,5.0,4.0,8.0,9.0,7798.0,86.7,27504628.0
20,0.5,R,25,1,-16088.8,33611.8,1344.5,12.0,8.0,8.0,20.0,17523.0,300.1,26738361.0
20,0.5,R,50,1,-48705.0,62863.0,1257.3,9.0,7.0,8.0,16.0,14158.0,300.1,27202325.0
20,0.5,Wcap,0.25,1,-54194.7,59526.7,1190.5,3.0,3.0,8.0,6.0,5332.0,116.3,28081785.0
20,0.5,Wcap,0.5,1,-52491.3,62297.3,1245.9,6.0,5.0,8.0,11.0,9806.0,284.2,27270051.0
20,0.5,Wcap,1,1,-48705.0,62863.0,1257.3,9.0,7.0,8.0,16.0,14158.0,300.1,27118976.0
20,0.5,Wcap,2,1,-44931.5,62454.5,1249.1,12.0,8.0,8.0,20.0,17523.0,194.1,26836715.0
20,0.5,Wcap,4,1,-42787.5,60310.5,1206.2,12.0,8.0,8.0,20.0,17523.0,151.7,26477151.0
20,0.5,baseline,-,1,-48705.0,62863.0,1257.3,9.0,7.0,8.0,16.0,14158.0,300.1,27160302.0
20,0.5,vDfact,0.5,1,-57579.9,69911.9,1398.2,11.0,3.0,3.0,14.0,12332.0,200.2,33075789.0
20,0.5,vDfact,1,1,-52122.5,65340.5,1306.8,10.0,5.0,6.0,15.0,13218.0,138.2,30194050.0
20,0.5,vDfact,2,1,-48705.0,62863.0,1257.3,9.0,7.0,8.0,16.0,14158.0,300.1,27125616.0
20,0.5,vDfact,3,1,-47410.5,62250.5,1245.0,9.0,8.0,8.0,17.0,14840.0,300.1,26864781.0
20,0.5,vDfact,4,1,-45269.7,61140.7,1222.8,10.0,8.0,9.0,18.0,15871.0,300.1,26313431.0
20,0.5,vmin,0.05,1,-48975.9,62193.9,1243.9,9.0,6.0,8.0,15.0,13218.0,300.1,26941551.0
20,0.5,vmin,0.1,1,-48705.0,62863.0,1257.3,9.0,7.0,8.0,16.0,14158.0,300.1,26999297.0
