factor,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error,vD
1,ttd300,30,1,1.0,374.0,374.0,ttd300_n30_L1_f100,1,ok,-40681.4156,23879.0,64560.4156,1291.2083,451.1682,451.1682,28,22,6,7,28140.0,68251.0,33786617,298,,1.0
3,ttd300,30,1,1.0,374.0,374.0,ttd300_n30_L1_f100,1,ok,-23335.6199,24690.0,48025.6199,960.5124,450.0163,395.5176,29,16,13,14,29148.0,68251.0,28648292,253,,3.0
0,ttd300,40,1,0.25,94.0,378.0,ttd300_n40_L1_f025,1,ok,-61253.8441,27495.0,88748.8441,1774.9769,600.0409,11.0898,31,31,0,0,31152.0,91001.0,46888927,314,,1e-06
0.5,ttd300,40,1,0.25,94.0,378.0,ttd300_n40_L1_f025,1,ok,-55519.6249,32200.0,87719.6249,1754.3925,600.0941,82.7666,37,34,3,4,37172.0,91001.0,44439473,297,,0.5
1,ttd300,40,1,0.25,94.0,378.0,ttd300_n40_L1_f025,1,ok,-49771.3245,32200.0,81971.3245,1639.4265,600.0981,600.098,37,26,11,12,37172.0,91001.0,40413145,270,,1.0
2,ttd300,40,1,0.25,94.0,378.0,ttd300_n40_L1_f025,1,ok,-43626.2665,31792.0,75418.2665,1508.3653,600.0315,262.1695,36,24,12,14,36164.0,91001.0,37660229,252,,2.0
3,ttd300,40,1,0.25,94.0,378.0,ttd300_n40_L1_f025,1,ok,-42678.709,31838.0,74516.709,1490.3342,600.0293,478.1036,36,22,14,16,36163.0,91001.0,37976639,254,,3.0
0,ttd300,40,1,0.5,189.0,378.0,ttd300_n40_L1_f050,1,ok,-63497.9961,27719.0,91216.9961,1824.3399,600.0433,0.1199,31,31,0,0,31156.0,91001.0,47390697,317,,1e-06
0.5,ttd300,40,1,0.5,189.0,378.0,ttd300_n40_L1_f050,1,ok,-52149.5049,31133.0,83282.5049,1665.6501,600.383,600.383,36,32,4,5,36170.0,91001.0,42310783,283,,0.5
1,ttd300,40,1,0.5,189.0,378.0,ttd300_n40_L1_f050,1,ok,-42051.0409,31838.0,73889.0409,1477.7808,600.2261,600.2261,36,27,9,11,36163.0,91001.0,36462819,243,,1.0
2,ttd300,40,1,0.5,189.0,378.0,ttd300_n40_L1_f050,1,ok,-32699.0651,33658.0,66357.0651,1327.1413,600.0346,67.5466,39,23,16,16,39181.0,91001.0,33798752,225,,2.0
3,ttd300,40,1,0.5,189.0,378.0,ttd300_n40_L1_f050,1,ok,-30772.2835,34418.0,65190.2835,1303.8057,600.0298,32.8663,40,21,19,19,40182.0,91001.0,33397340,223,,3.0
0,ttd300,40,1,0.75,284.0,378.0,ttd300_n40_L1_f075,1,ok,-63497.9961,27719.0,91216.9961,1824.3399,600.046,0.1214,31,31,0,0,31156.0,91001.0,48840126,327,,1e-06
0.5,ttd300,40,1,0.75,284.0,378.0,ttd300_n40_L1_f075,1,ok,-50573.3605,32056.0,82629.3605,1652.5872,600.2621,475.0019,37,33,4,4,37178.0,91001.0,42325236,283,,0.5
1,ttd300,40,1,0.75,284.0,378.0,ttd300_n40_L1_f075,1,ok,-41720.1784,31838.0,73558.1784,1471.1636,600.3327,600.3327,36,28,8,10,36163.0,91001.0,36188669,241,,1.0
2,ttd300,40,1,0.75,284.0,378.0,ttd300_n40_L1_f075,1,ok,-32803.6789,34418.0,67221.6789,1344.4336,600.0342,194.2963,40,23,17,17,40182.0,91001.0,33899564,226,,2.0
3,ttd300,40,1,0.75,284.0,378.0,ttd300_n40_L1_f075,1,ok,-28264.0687,33154.0,61418.0687,1228.3614,600.0336,420.6911,38,22,16,17,38173.0,91001.0,33476244,223,,3.0
0,ttd300,40,1,1.0,378.0,378.0,ttd300_n40_L1_f100,1,ok,-63497.9961,27719.0,91216.9961,1824.3399,600.0501,0.1249,31,31,0,0,31156.0,91001.0,49887673,334,,1e-06
0.5,ttd300,40,1,1.0,378.0,378.0,ttd300_n40_L1_f100,1,ok,-51382.3069,32056.0,83438.3069,1668.7661,600.4274,444.9343,37,33,4,4,37178.0,91001.0,42864049,287,,0.5
